Pincode,District,StateName
515631,ANANTAPUR,ANDHRA PRADESH
515581,ANANTAPUR,ANDHRA PRADESH
515571,ANANTAPUR,ANDHRA PRADESH
515311,ANANTAPUR,ANDHRA PRADESH
515281,ANANTAPUR,ANDHRA PRADESH
515241,ANANTAPUR,ANDHRA PRADESH
534176,WEST GODAVARI,ANDHRA PRADESH
813105,BANKA,BIHAR
813203,BHAGALPUR,BIHAR
853202,BHAGALPUR,BIHAR
813222,BHAGALPUR,BIHAR
812005,BHAGALPUR,BIHAR
853203,BHAGALPUR,BIHAR
812006,BHAGALPUR,BIHAR
853204,MADHEPURA,BIHAR
813209,BHAGALPUR,BIHAR
530052,VISAKHAPATANAM,ANDHRA PRADESH
515871,ANANTAPUR,ANDHRA PRADESH
515842,ANANTAPUR,ANDHRA PRADESH
515803,ANANTAPUR,ANDHRA PRADESH
515775,ANANTAPUR,ANDHRA PRADESH
515405,ANANTAPUR,ANDHRA PRADESH
515865,ANANTAPUR,ANDHRA PRADESH
515455,ANANTAPUR,ANDHRA PRADESH
515611,ANANTAPUR,ANDHRA PRADESH
515867,ANANTAPUR,ANDHRA PRADESH
515812,ANANTAPUR,ANDHRA PRADESH
515832,ANANTAPUR,ANDHRA PRADESH
515870,ANANTAPUR,ANDHRA PRADESH
531173,VISAKHAPATANAM,ANDHRA PRADESH
531219,VISAKHAPATANAM,ANDHRA PRADESH
853205,BHAGALPUR,BIHAR
813210,BHAGALPUR,BIHAR
813108,BHAGALPUR,BIHAR
813212,BANKA,BIHAR
515101,ANANTAPUR,ANDHRA PRADESH
503186,NIZAMABAD,TELANGANA
503180,NIZAMABAD,TELANGANA
503187,KAMAREDDY,TELANGANA
503101,KAMAREDDY,TELANGANA
503125,KAMAREDDY,TELANGANA
503112,KAMAREDDY,TELANGANA
344704,BARMER,RAJASTHAN
344032,BARMER,RAJASTHAN
342002,JODHPUR,RAJASTHAN
344706,BARMER,RAJASTHAN
503124,KAMAREDDY,TELANGANA
503309,KAMAREDDY,TELANGANA
503108,KAMAREDDY,TELANGANA
503302,KAMAREDDY,TELANGANA
503201,NIZAMABAD,TELANGANA
503306,KAMAREDDY,TELANGANA
503123,KAMAREDDY,TELANGANA
503102,KAMAREDDY,TELANGANA
516129,Y.S.R.,ANDHRA PRADESH
516237,Y.S.R.,ANDHRA PRADESH
516130,Y.S.R.,ANDHRA PRADESH
516151,Y.S.R.,ANDHRA PRADESH
147111,PATIALA,PUNJAB
788162,HAILAKANDI,ASSAM
788150,HAILAKANDI,ASSAM
788801,HAILAKANDI,ASSAM
788161,HAILAKANDI,ASSAM
788152,HAILAKANDI,ASSAM
788155,HAILAKANDI,ASSAM
208001,KANPUR NAGAR,UTTAR PRADESH
503310,KAMAREDDY,TELANGANA
503110,KAMAREDDY,TELANGANA
503145,KAMAREDDY,TELANGANA
503120,KAMAREDDY,TELANGANA
503235,NIZAMABAD,TELANGANA
503321,KAMAREDDY,TELANGANA
503185,NIZAMABAD,TELANGANA
503230,NIZAMABAD,TELANGANA
503202,NIZAMABAD,TELANGANA
503246,NIZAMABAD,TELANGANA
503305,KAMAREDDY,TELANGANA
273001,GORAKHPUR,UTTAR PRADESH
505186,PEDDAPALLI,TELANGANA
505153,PEDDAPALLI,TELANGANA
505162,PEDDAPALLI,TELANGANA
505152,PEDDAPALLI,TELANGANA
505514,PEDDAPALLI,TELANGANA
