,Latitude,Longitude
0,14.5689,77.85624
1,14.5281,77.857014
2,14.561111,77.85715
3,14.2488,78.2588
4,14.24555,78.2477
5,14.2888,78.2777
6,14.24888,78.2999
7,13.9226755,78.2011756
8,14.56258,77.85715
9,14.528,77.85426
10,14.2411,78.25469
11,14.2458,78.2589
12,14.2489,78.2581
13,14.24003,78.2488
14,13.9226575,78.201156
15,13.9226913,78.2011911
16,13.9226946,78.2011945
17,13.805102,77.043902
18,13.805104,77.043904
19,13.805106,77.043906
20,14.128106,76.980106
21,13.96,77.68
22,13.805103,77.043903
23,13.805107,77.043907
24,13.805108,77.043908
25,13.805109,77.043909
26,13.805111,77.043911
27,14.128101,76.980101
28,14.128102,76.980102
29,14.128103,76.980103
30,14.128104,76.980104
31,13.91,77.72
32,16.6286,80.5841
33,84.527,24.239
34,84.529,24.2354
35,84.52367,24.2365
36,84.535,24.2236
37,87.2628853,25.2987632
38,87.329,28.257
39,25.2562172,87.0066554
40,25.366,84.258
41,24.36,84.025
42,25.888,86.999
43,24.358,84.201
44,24.623,84.714
45,24.651,84.123
46,25.369,86.369
47,25.008,87.006
48,25.21607,86.946762
49,25.4067,6.8052
50,25.4137352,86.8797372
51,25.4234256,86.8483
52,25.404242,86.8226179
53,24.222,86.365
54,25.369,86.356
55,25.365,85.366
56,25.2153,86.9362
57,25.2564,86.4022
58,25.32116,87.1572
59,25.4685,87.0589
60,25.366,84.369
61,25.999,84.698
62,25.023,86.126
63,0.0,0.0
64,25.3387,87.0585
65,25.3285,87.5132
66,26.2465,87.3969
67,25.3114,87.4201
68,17.89,83.34
69,14.95,76.41
70,15.67,77.41
71,15.02,76.63
72,14.68,77.61
73,15.16,77.39
74,15.03,77.46
75,15.02,77.67
76,14.85,76.86
77,14.83,76.66
78,14.6,76.43
79,14.93,77.58
80,15.01,77.76
81,15.19,77.82
82,15.32,77.19
83,15.38,77.51
84,15.49,77.68
85,14.15,75.81
86,15.23,76.83
87,14.59,76.21
88,15.4,77.53
89,15.46,77.22
90,15.52,77.33
91,15.32,76.54
92,15.49,77.22
93,15.03,76.96
94,15.05,77.17
95,17.86,83.24
96,17.99,83.29
97,14.93,76.42
98,15.0,76.38
99,15.44,76.64
100,86.26455,24.75533
101,25.369,84.265
102,24.306,86.035
103,24.308,86.29
104,25.302,87.201
105,24.897,86.209
106,25.201,87.201
107,84.201,87.201
108,25.0,87.258
109,24.8832,86.9267
110,24.7757,86.872
111,24.8932,86.9367
112,24.7617,86.9126
113,86.123,22.154
114,84.526,24.234
115,86.946136,25.2182779
116,24.205,84.025
117,25.367,86.325
118,25.697,85.222
119,24.69,84.254
120,24.87176,86.9869722
121,24.814,84.125
122,84.253,24.237
123,84.536,24.321
124,85.326,25.326
125,84.5263,24.2342
126,84.5236,24.236
127,25.2873053,87.2560803
128,25.2279357,87.274423
129,86.562,24.369
130,24.125,84.521
131,25.325,87.321
